,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
24,P11_D5_G6_M6_R2_T1,0.9,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.9
25,P11_D5_G6_M6_R2_T1,0.9,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.9
26,P11_D5_G6_M6_R2_T1,0.9,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.9
27,P11_D5_G6_M6_R2_T1,1.0,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,1.0
28,P11_D5_G6_M6_R2_T1,1.0,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,1.0
29,P11_D5_G6_M6_R2_T1,1.0,1,9.929060959945678,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,1.0
0,P8_D1_G4_M6_R1_T1,0.30000000000000004,4,35.114812207424166,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,G4,G,P8,D1,M6,R1,D1_M6,0.4
1,P8_D1_G4_M6_R1_T1,0.4,5,55.329421,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,G4,G,P8,D1,M6,R1,D1_M6,0.4
2,P8_D1_G4_M6_R1_T1,0.5,6,63.25254578780746,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,G4,G,P8,D1,M6,R1,D1_M6,0.5
3,P8_D1_G4_M6_R1_T1,0.8,4,106.42707689748,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,G4,G,P8,D1,M6,R1,D1_M6,0.8
4,P8_D1_G4_M6_R1_T1,0.9,5,119.13895195708466,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,G4,G,P8,D1,M6,R1,D1_M6,0.9
5,P8_D1_G4_M6_R1_T1,1.0,6,133.50220804291536,G4_P8_D1_G4_M6_R1_T1_FLOW.csv,G4,G,P8,D1,M6,R1,D1_M6,1.0
0,P3_D1_G1_M1_R1_T1,0.1,1,6.314785900817872,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.1
1,P3_D1_G1_M1_R1_T1,0.1,2,11.36341690272522,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.1
2,P3_D1_G1_M1_R1_T1,0.1,3,18.54887713351441,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.1
3,P3_D1_G1_M1_R1_T1,0.2,4,25.280295839782717,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
4,P3_D1_G1_M1_R1_T1,0.2,5,29.570654965667725,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
5,P3_D1_G1_M1_R1_T1,0.2,4,34.687809015258786,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
6,P3_D1_G1_M1_R1_T1,0.2,5,40.57563303433228,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
7,P3_D1_G1_M1_R1_T1,0.2,3,42.82729682643127,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
8,P3_D1_G1_M1_R1_T1,0.2,5,44.2704628626709,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
9,P3_D1_G1_M1_R1_T1,0.2,6,48.65116811062622,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.2
10,P3_D1_G1_M1_R1_T1,0.30000000000000004,3,51.36162697138977,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
11,P3_D1_G1_M1_R1_T1,0.30000000000000004,4,55.87742009536744,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
12,P3_D1_G1_M1_R1_T1,0.30000000000000004,4,61.16410794087219,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
13,P3_D1_G1_M1_R1_T1,0.30000000000000004,5,63.406232074386594,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
